CNSH00000016,000001,1137
CNSH00000024,000002,1158
CNSH00000032,000003,1145
CNSH00000040,000004,1150
CNSH00000057,000005,1123
CNSH00000065,000006,1126
CNSH00000073,000007,1140
CNSH00000081,000008,1132
CNSH00000099,000009,1838
CNSH00000107,000010,1129
CNSH00000115,000011,1136
CNSH00000123,000012,1133
CNSH00000131,000013,1135
CNSH00000156,000015,1134
CNSH00000164,000016,1157
CNSH00000172,000017,1144
CNSH00000180,000018,1160
CNSH00000198,000019,1153
CNSH00000206,000020,1147
CNSH00000214,000021,1301
CNSH00000222,000022,1308
CNSH00000255,000025,1313
CNSH00000263,000026,1314
CNSH00000271,000027,1315
CNSH00000289,000028,1320
CNSH00000297,000029,1326
CNSH00000305,000030,1328
CNSH00000313,000031,1321
CNSH00000321,000032,1327
CNSH00000339,000033,1324
CNSH00000347,000034,1318
CNSH00000354,000035,1322
CNSH00000362,000036,1325
CNSH00000370,000037,1323
CNSH00000388,000038,1316
CNSH00000396,000039,1329
CNSH00000404,000040,1319
CNSH00000412,000041,1317
CNSH00000420,000042,1334
CNSH00000438,000043,1355
CNSH00000446,000044,1409
CNSH00000453,000045,1408
CNSH00000461,000046,1402
CNSH00000479,000047,1411
CNSH00000487,000048,1426
CNSH00000495,000049,1430
CNSH00000503,000050,1431
CNSH00000511,000051,1466
CNSH00000529,000052,1471
CNSH00000537,000053,1489
CNSH00000545,000054,1490
CNSH00000552,000055,1463
CNSH00000560,000056,1482
CNSH00000578,000057,1498
CNSH00000586,000058,1477
CNSH00000594,000059,1473
CNSH00000602,000060,1485
CNSH00000610,000061,1484
CNSH00000628,000062,1488
CNSH00000636,000063,1465
CNSH00000644,000064,1475
CNSH00000651,000065,1483
CNSH00000669,000066,1494
CNSH00000677,000067,1497
CNSH00000685,000068,1492
CNSH00000693,000069,1469
CNSH00000701,000070,1472
CNSH00000719,000071,1643
CNSH00000727,000072,1646
CNSH00000735,000073,1633
CNSH00000743,000074,1635
CNSH00000750,000075,1644
CNSH00000768,000076,1645
CNSH00000776,000077,1634
CNSH00000784,000078,1622
CNSH00000792,000079,1624
CNSH00000909,000090,1616
CNSH00000917,000091,1846
CNSH00000925,000092,1827
CNSH00000933,000093,1826
CNSH00000941,000094,1821
CNSH00000958,000095,1815
CNSH00000966,000096,1839
CNSH00000974,000097,1847
CNSH00000982,000098,1829
CNSH00000990,000099,1822
CNSH00001006,000100,1843
CNSH00001014,000101,1818
CNSH00001022,000102,1841
CNSH00001030,000103,1816
CNSH00001048,000104,1840
CNSH00001055,000105,1828
CNSH00001063,000106,1823
CNSH00001071,000107,1844
CNSH00001089,000108,1819
CNSH00001097,000109,1825
CNSH00001105,000110,1824
CNSH00001113,000111,2012
CNSH00001121,000112,1956
CNSH00001139,000113,1987
CNSH00001147,000114,1994
CNSH00001154,000115,1965
CNSH00001162,000116,2011
CNSH00001170,000117,1960
CNSH00001188,000118,1967
CNSH00001196,000119,1971
CNSH00001204,000120,1951
CNSH00001212,000121,2000
CNSH00001220,000122,2019
CNSH00001238,000123,2025
CNSH00001253,000125,2006
CNSH00001261,000126,1980
CNSH00001287,000128,1949
CNSH00001295,000129,1998
CNSH00001303,000130,2018
CNSH00001311,000131,1959
CNSH00001329,000132,1979
CNSH00001337,000133,1970
CNSH00001345,000134,1973
CNSH00001352,000135,1950
CNSH00001360,000136,1999
CNSH00001378,000137,1961
CNSH00001386,000138,1969
CNSH00001394,000139,1990
CNSH00001410,000141,1966
CNSH00001428,000142,1997
CNSH00001451,000145,2005
CNSH00001469,000146,2020
CNSH00001477,000147,1981
CNSH00001485,000148,1952
CNSH00001493,000149,2001
CNSH00001501,000150,2016
CNSH00001519,000151,2347
CNSH00001527,000152,2366
CNSH00001535,000153,2369
CNSH00001550,000155,2317
CNSH00001584,000158,2402
CNSH00001592,000159,2333
CNSH00001600,000160,2371
CNSH00001618,000161,2385
CNSH00001626,000162,2319
CNSH00001709,000170,2327
CNSH00001717,000171,2377
CNSH00002053,000205,2605
CNSH00003002,000300,1151
CNSH00008027,000802,1993
CNSH00008050,000805,2002
CNSH00008084,000808,2004
CNSH00008142,000814,2010
CNSH00008191,000819,1968
CNSH00008233,000823,2008
CNSH00008274,000827,2003
CNSH00008282,000828,1962
CNSH00008415,000841,2322
CNSH00008423,000842,2414
CNSH00008472,000847,2329
CNSH00008498,000849,2346
CNSH00008514,000851,2364
CNSH00008522,000852,2367
CNSH00008530,000853,2382
CNSH00008548,000854,2318
CNSH00008555,000855,3966
CNSH00008563,000856,2416
CNSH00008571,000857,2326
CNSH00008589,000858,2379
CNSH00008605,000860,9701
CNSH00008639,000863,2412
CNSH00008654,000865,2332
CNSH00008670,000867,2345
CNSH00008696,000869,2350
CNSH00008746,000874,2400
CNSH00008910,000891,7113
CNSH00009017,000901,1127
CNSH00009025,000902,1115
CNSH00009033,000903,1130
CNSH00009041,000904,1128
CNSH00009058,000905,1155
CNSH00009066,000906,1142
CNSH00009074,000907,1111
CNSH00009132,000913,1121
CNSH00009140,000914,1124
CNSH00009181,000918,1141
CNSH00009280,000928,1407
CNSH00009322,000932,1401
CNSH00009330,000933,1406
CNSH00009348,000934,1410
CNSH00009355,000935,1413
CNSH00009447,000944,1433
CNSH00009587,000958,1481
CNSH00009660,000966,1468
CNSH00009710,000971,1499
CNSH00009744,000974,1621
CNSH00009827,000982,1620
CNSH00009843,000984,1628
CNSH00009868,000986,1626
CNSH00009876,000987,1630
CNSH00009892,000989,1619
CNSH00009900,000990,170
CNSH00009918,000991,1814
CNSH00009926,000992,1834
CNSH00009934,000993,1835
CNSH00009983,000998,1807
CNSH00097046,009704,140
CNSH00099059,009905,119
CNSH00099083,009908,82
CNSH00100337,010033,1509
CNSH00100345,010034,1567
CNSH00100352,010035,1568
CNSH00101038,010103,147
CNSH00101079,010107,85
CNSH00101087,010108,1200
CNSH00101103,010110,128
CNSH00101129,010112,83
CNSH00101152,010115,124
CNSH00101186,010118,1331
CNSH00102036,010203,104
CNSH00102101,010210,142
CNSH00102135,010213,98
CNSH00102143,010214,132
CNSH00102150,010215,76
CNSH00102200,010220,1476
CNSH00102218,010221,1436
CNSH00102226,010222,1454
CNSH00102234,010223,1541
CNSH00102242,010224,1495
CNSH00102259,010225,1407
CNSH00102283,010228,1451
CNSH00102291,010229,1477
CNSH00102309,010230,1488
CNSH00102317,010231,1443
CNSH00102325,010232,1453
CNSH00102333,010233,1481
CNSH00103018,010301,123
CNSH00103034,010303,155
CNSH00103075,010307,110
CNSH00103083,010308,144
CNSH00103117,010311,85
CNSH00104032,010403,127
CNSH00104040,010404,106
CNSH00104073,010407,141
CNSH00104081,010408,78
CNSH00104107,010410,92
CNSH00104883,010488,1458
CNSH00105005,010500,1559
CNSH00105013,010501,93
CNSH00105039,010503,135
CNSH00105047,010504,93
CNSH00105054,010505,91
CNSH00105070,010507,137
CNSH00105088,010508,101
CNSH00105096,010509,139
CNSH00105112,010511,77
CNSH00105120,010512,126
CNSH00105138,010513,75
CNSH00105146,010514,90
CNSH00105229,010522,1483
CNSH00105898,010589,1543
CNSH00105906,010590,1530
CNSH00106011,010601,136
CNSH00106037,010603,102
CNSH00106045,010604,99
CNSH00106052,010605,133
CNSH00106060,010606,120
CNSH00106086,010608,108
CNSH00106094,010609,112
CNSH00106102,010610,130
CNSH00106128,010612,118
CNSH00106136,010613,107
CNSH00106151,010615,143
CNSH00106169,010616,97
CNSH00106177,010617,100
CNSH00106185,010618,134
CNSH00106193,010619,91
CNSH00106201,010620,109
CNSH00106219,010621,112
CNSH00106227,010622,1438
CNSH00106235,010623,1455
CNSH00106243,010624,1540
CNSH00106250,010625,1555
CNSH00106268,010626,1492
CNSH00106276,010627,1523
CNSH00106284,010628,1464
CNSH00106292,010629,1572
CNSH00106300,010630,1534
CNSH00106318,010631,1473
CNSH00106326,010632,1576
CNSH00106334,010633,1420
CNSH00107019,010701,89
CNSH00107068,010706,146
CNSH00107134,010713,111
CNSH00108306,010830,1413
CNSH00108314,010831,1447
CNSH00108322,010832,1441
CNSH00108637,010863,1404
CNSH00108645,010864,1575
CNSH00108652,010865,1504
CNSH00108660,010866,1419
CNSH00109395,010939,1474
CNSH00109452,010945,1410
CNSH00109460,010946,1516
CNSH00109478,010947,1485
CNSH00109551,010955,1475
CNSH00109569,010956,1422
CNSH00109577,010957,1578
CNSH00109585,010958,1552
CNSH00109916,010991,1416
CNSH00109924,010992,1536
CNSH00109940,010994,1491
CNSH00109957,010995,1508
CNSH00109999,010999,1428
CNSH00180032,018003,3478
CNSH00180065,018006,109
CNSH00180073,018007,9230
CNSH00180081,018008,9227
CNSH00180099,018009,9232
CNSH00190023,019002,1759
CNSH00190031,019003,1740
CNSH00190072,019007,1788
CNSH00190098,019009,1772
CNSH00190114,019011,1208
CNSH00190122,019012,1741
CNSH00190130,019013,94
CNSH00190148,019014,1774
CNSH00190189,019018,1738
CNSH00190197,019019,1744
CNSH00190239,019023,1785
CNSH00190247,019024,1757
CNSH00190262,019026,1798
CNSH00190296,019029,1707
CNSH00190312,019031,1758
CNSH00190346,019034,1761
CNSH00190379,019037,1858
CNSH00190403,019040,1771
CNSH00190411,019041,1812
CNSH00191021,019102,1893
CNSH00191054,019105,1906
CNSH00191088,019108,1922
CNSH00191104,019110,1717
CNSH00191120,019112,2041
CNSH00191153,019115,2060
CNSH00191161,019116,2071
CNSH00191195,019119,2112
CNSH00191237,019123,1799
CNSH00191245,019124,2148
CNSH00192045,019204,2216
CNSH00192060,019206,2257
CNSH00192086,019208,2279
CNSH00192094,019209,2289
CNSH00192102,019210,2104
CNSH00192128,019212,201
CNSH00192136,019213,1706
CNSH00192151,019215,2478
CNSH00192169,019216,193
CNSH00192185,019218,2522
CNSH00192201,019220,2560
CNSH00192219,019221,2614
CNSH00193035,019303,2684
CNSH00193050,019305,2723
CNSH00193084,019308,2851
CNSH00193092,019309,2855
CNSH00193100,019310,2920
CNSH00193118,019311,2928
CNSH00193159,019315,3018
CNSH00193167,019316,3049
CNSH00193183,019318,3064
CNSH00193191,019319,3085
CNSH00193209,019320,3111
CNSH00193241,019324,3170
CNSH00193258,019325,3197
CNSH00194033,019403,3354
CNSH00194058,019405,3429
CNSH00194066,019406,3463
CNSH00194090,019409,3497
CNSH00194108,019410,3553
CNSH00194124,019412,3616
CNSH00194132,019413,3672
CNSH00194165,019416,3732
CNSH00194173,019417,3798
CNSH00194215,019421,3893
CNSH00194249,019424,3950
CNSH00194256,019425,3956
CNSH00194264,019426,1548
CNSH00194272,019427,4011
CNSH00194298,019429,4045
CNSH00195022,019502,4080
CNSH00195030,019503,4096
CNSH00195055,019505,4172
CNSH00195071,019507,4191
CNSH00195089,019508,4199
CNSH00195105,019510,4259
CNSH00195113,019511,1583
CNSH00195147,019514,4496
CNSH00195162,019516,4533
CNSH00195170,019517,4584
CNSH00195196,019519,4724
CNSH00195212,019521,4820
CNSH00195238,019523,4876
CNSH00195253,019525,4891
CNSH00195261,019526,4913
CNSH00195287,019528,5125
CNSH00195303,019530,5337
CNSH00195329,019532,5382
CNSH00195345,019534,5551
CNSH00195352,019535,5760
CNSH00195360,019536,5823
CNSH00195386,019538,4927
CNSH00195410,019541,5928
CNSH00195428,019542,6066
CNSH00195436,019543,2013
CNSH00195444,019544,6253
CNSH00195451,019545,6283
CNSH00195477,019547,6402
CNSH00195485,019548,120
CNSH00195493,019549,6700
CNSH00195501,019550,6740
CNSH00195519,019551,6768
CNSH00195535,019553,6927
CNSH00195543,019554,6948
CNSH00195550,019555,3219
CNSH00195568,019556,7104
CNSH00195584,019558,1625
CNSH00195592,019559,1972
CNSH00195600,019560,2396
CNSH00195618,019561,7184
CNSH00195626,019562,7257
CNSH00195642,019564,7262
CNSH00195659,019565,7424
CNSH00195667,019566,7517
CNSH00195675,019567,7575
CNSH00195683,019568,7645
CNSH00195691,019569,7766
CNSH00195709,019570,7796
CNSH00195725,019572,7810
CNSH00195733,019573,8117
CNSH00195741,019574,8167
CNSH00195758,019575,8198
CNSH00195766,019576,8327
CNSH00195774,019577,8351
CNSH00195782,019578,8381
CNSH00195808,019580,3704
CNSH00195816,019581,8602
CNSH00195824,019582,8736
CNSH00195832,019583,3269
CNSH00195840,019584,4046
CNSH00195865,019586,975
CNSH00195873,019587,1917
CNSH00195881,019588,8792
CNSH00195899,019589,3516
CNSH00195907,019590,8872
CNSH00195915,019591,8870
CNSH00195923,019592,8952
CNSH00195931,019593,8953
CNSH00195949,019594,8972
CNSH00195956,019595,2065
CNSH00195964,019596,2537
CNSH00195972,019597,8793
CNSH00195980,019598,8824
CNSH00195998,019599,9158
CNSH00196004,019600,9269
CNSH00196012,019601,9270
CNSH00196020,019602,2551
CNSH00196038,019603,3690
CNSH00196046,019604,8503
CNSH00196053,019605,9077
CNSH00196061,019606,9576
CNSH00196079,019607,9688
CNSH00196087,019608,9722
CNSH00196095,019609,9718
CNSH00196103,019610,5008
CNSH00196111,019611,5282
CNSH00196129,019612,5462
CNSH00196137,019613,10061
CNSH00196145,019614,5628
CNSH00198026,019802,1784
CNSH00198067,019806,1735
CNSH00198133,019813,1728
CNSH00198208,019820,1796
CNSH00198232,019823,1754
CNSH00199024,019902,1746
CNSH00199057,019905,1751
CNSH00199073,019907,1791
CNSH00199115,019911,1778
CNSH00199123,019912,1768
CNSH00199164,019916,1789
CNSH00199206,019920,1770
CNSH00199230,019923,1725
CNSH00199255,019925,1760
CNSH00199271,019927,1787
CNSH00199305,019930,1737
CNSH00202695,020269,9662
CNSH00202745,020274,5090
CNSH00202794,020279,2202
CNSH00202836,020283,3906
CNSH00202844,020284,10017
CNSH00202851,020285,4846
CNSH00202869,020286,10072
CNSH00202877,020287,10073
CNSH00202885,020288,10117
CNSH00202893,020289,10170
CNSH00202901,020290,2168
CNSH00202919,020291,10316
CNSH00202927,020292,10320
CNSH00202935,020293,10351
CNSH00202943,020294,10402
CNSH01000163,100016,210
CNSH01000874,100087,209
CNSH01001179,100117,205
CNSH01001203,100120,1459
CNSH01001211,100121,1412
CNSH01001229,100122,1448
CNSH01001237,100123,1478
CNSH01001245,100124,1442
CNSH01001252,100125,1421
CNSH01001260,100126,1417
CNSH01001278,100127,1546
CNSH01001286,100128,1430
CNSH01001294,100129,1445
CNSH01001302,100130,1511
CNSH01002268,100226,1618
CNSH01002367,100236,196
CNSH01007267,100726,206
CNSH01007952,100795,195
CNSH01100013,110001,211
CNSH01100047,110004,1393
CNSH01100104,110010,197
CNSH01100211,110021,207
CNSH01100302,110030,4049
CNSH01100310,110031,4301
CNSH01100336,110033,5308
CNSH01100344,110034,5334
CNSH01100351,110035,1600
CNSH01100369,110036,203
CNSH01100377,110037,201
CNSH01100385,110038,8469
CNSH01100401,110040,8644
CNSH01100419,110041,8735
CNSH01100427,110042,8737
CNSH01100435,110043,8216
CNSH01100443,110044,9078
CNSH01100450,110045,7029
CNSH01100468,110046,9684
CNSH01100476,110047,9691
CNSH01100484,110048,4995
CNSH01100492,110049,9758
CNSH01100500,110050,9771
CNSH01100518,110051,10035
CNSH01100526,110052,4736
CNSH01100534,110053,10075
CNSH01100542,110054,10090
CNSH01100559,110055,10080
CNSH01100567,110056,10104
CNSH01100575,110057,10268
CNSH01100583,110058,10311
CNSH01100641,110064,1343
CNSH01101508,110150,1373
CNSH01101516,110151,1329
CNSH01101524,110152,1356
CNSH01101532,110153,1382
CNSH01101540,110154,1360
CNSH01101557,110155,1312
CNSH01101565,110156,1359
CNSH01101573,110157,1314
CNSH01101581,110158,1387
CNSH01101599,110159,1291
CNSH01101607,110160,1337
CNSH01101615,110161,1307
CNSH01101623,110162,1358
CNSH01101631,110163,1381
CNSH01101649,110164,1369
CNSH01101706,110170,1402
CNSH01102324,110232,202
CNSH01102340,110234,1622
CNSH01103108,110310,1204
CNSH01103173,110317,199
CNSH01103256,110325,212
CNSH01103348,110334,1201
CNSH01103355,110335,1203
CNSH01103405,110340,1461
CNSH01103413,110341,1582
CNSH01103421,110342,1510
CNSH01103439,110343,1569
CNSH01103447,110344,1502
CNSH01103454,110345,1565
CNSH01103462,110346,1409
CNSH01103470,110347,1544
CNSH01103488,110348,1583
CNSH01103496,110349,1529
CNSH01103504,110350,1471
CNSH01103983,110398,198
CNSH01104239,110423,208
CNSH01104403,110440,1617
CNSH01104411,110441,1613
CNSH01104429,110442,1604
CNSH01104882,110488,204
CNSH01105558,110555,1376
CNSH01106903,110690,1620
CNSH01107703,110770,1607
CNSH01108305,110830,1605
CNSH01108313,110831,1614
CNSH01108628,110862,1626
CNSH01108636,110863,1628
CNSH01108644,110864,1602
CNSH01108651,110865,1599
CNSH01108743,110874,200
CNSH01109907,110990,1619
CNSH01109915,110991,1372
CNSH01109923,110992,1339
CNSH01109931,110993,1301
CNSH01109949,110994,1325
CNSH01130044,113004,1342
CNSH01130085,113008,4086
CNSH01130093,113009,5359
CNSH01130101,113010,1609
CNSH01130119,113011,2387
CNSH01130127,113012,7127
CNSH01130135,113013,3596
CNSH01130143,113014,8379
CNSH01130150,113015,8409
CNSH01130168,113016,7615
CNSH01130176,113017,8749
CNSH01130184,113018,3065
CNSH01130192,113019,8289
CNSH01130200,113020,9681
CNSH01130218,113021,10058
CNSH01130226,113022,10071
CNSH01130242,113024,2904
CNSH01130259,113025,5116
CNSH01130267,113026,5647
CNSH01130309,113030,1606
CNSH01130408,113040,1603
CNSH01130507,113050,1601
CNSH01130549,113054,1350
CNSH01130606,113060,1621
CNSH01130648,113064,1313
CNSH01130705,113070,1610
CNSH01130804,113080,1608
CNSH01131505,113150,1363
CNSH01131513,113151,1399
CNSH01131521,113152,1362
CNSH01131539,113153,1379
CNSH01131547,113154,1397
CNSH01131554,113155,1401
CNSH01131562,113156,1365
CNSH01131570,113157,1333
CNSH01131588,113158,1396
CNSH01131596,113159,1304
CNSH01131604,113160,1309
CNSH01131612,113161,1357
CNSH01131620,113162,1294
CNSH01131638,113163,1355
CNSH01131646,113164,1321
CNSH01131703,113170,1322
CNSH01135027,113502,8464
CNSH01135035,113503,8702
CNSH01135043,113504,8775
CNSH01135050,113505,1629
CNSH01135068,113506,3642
CNSH01135076,113507,4160
CNSH01135084,113508,8902
CNSH01135092,113509,9028
CNSH01135100,113510,3494
CNSH01135118,113511,4253
CNSH01135134,113513,4364
CNSH01135142,113514,9129
CNSH01135159,113515,9176
CNSH01135167,113516,9234
CNSH01135175,113517,2485
CNSH01135183,113518,2883
CNSH01135191,113519,4893
CNSH01135209,113520,4907
CNSH01135217,113521,9671
CNSH01135225,113522,9700
CNSH01135233,113523,5016
CNSH01135241,113524,5248
CNSH01135258,113525,9242
CNSH01135266,113526,9870
CNSH01135274,113527,9874
CNSH01135282,113528,10048
CNSH01135290,113529,10066
CNSH01135308,113530,10175
CNSH01135316,113531,10242
CNSH01135324,113532,10296
CNSH01135332,113533,2233
CNSH01135340,113534,3470
CNSH01135357,113535,5677
CNSH01200227,120022,1338
CNSH01200235,120023,1320
CNSH01200243,120024,1317
CNSH01200888,120088,1400
CNSH01201019,120101,8
CNSH01201027,120102,52
CNSH01201092,120109,1479
CNSH01202017,120201,53
CNSH01202025,120202,28
CNSH01202033,120203,49
CNSH01202041,120204,41
CNSH01202058,120205,44
CNSH01202074,120207,3
CNSH01202108,120210,1519
CNSH01202116,120211,1462
CNSH01202124,120212,1486
CNSH01202132,120213,1526
CNSH01202140,120214,1465
CNSH01202157,120215,1518
CNSH01202165,120216,1496
CNSH01202173,120217,1506
CNSH01202181,120218,1522
CNSH01202199,120219,1463
CNSH01202496,120249,1444
CNSH01202553,120255,1318
CNSH01202561,120256,1364
CNSH01202579,120257,1323
CNSH01202652,120265,1515
CNSH01202660,120266,1295
CNSH01202678,120267,1341
CNSH01202686,120268,1330
CNSH01202884,120288,7
CNSH01203015,120301,53
CNSH01203023,120302,23
CNSH01203031,120303,37
CNSH01203049,120304,48
CNSH01203056,120305,40
CNSH01203064,120306,62
CNSH01203072,120307,9
CNSH01203080,120308,15
CNSH01203098,120309,64
CNSH01203106,120310,33
CNSH01203114,120311,45
CNSH01204823,120482,38
CNSH01204831,120483,61
CNSH01204856,120485,6
CNSH01204864,120486,76
CNSH01204880,120488,24
CNSH01204898,120489,34
CNSH01204906,120490,57
CNSH01205010,120501,42
CNSH01205028,120502,1
CNSH01205036,120503,2
CNSH01205051,120505,4
CNSH01205069,120506,61
CNSH01205085,120508,48
CNSH01205093,120509,27
CNSH01205101,120510,47
CNSH01205119,120511,39
CNSH01205127,120512,52
CNSH01205168,120516,5
CNSH01205176,120517,51
CNSH01205184,120518,16
CNSH01205192,120519,71
CNSH01205200,120520,25
CNSH01205218,120521,36
CNSH01205226,120522,69
CNSH01205234,120523,10
CNSH01205259,120525,56
CNSH01205267,120526,1386
CNSH01205275,120527,41
CNSH01205283,120528,20
CNSH01205291,120529,9
CNSH01205507,120550,1352
CNSH01206018,120601,2
CNSH01206026,120602,16
CNSH01206034,120603,62
CNSH01206042,120604,18
CNSH01206059,120605,26
CNSH01206067,120606,26
CNSH01206075,120607,6
CNSH01206083,120608,73
CNSH01206091,120609,19
CNSH01207024,120702,28
CNSH01208303,120830,1367
CNSH01208311,120831,1327
CNSH01208329,120832,1375
CNSH01208337,120833,1348
CNSH01208360,120836,1290
CNSH01208378,120837,1306
CNSH01208386,120838,1298
CNSH01208394,120839,1391
CNSH01208410,120841,1403
CNSH01208428,120842,1377
CNSH01209012,120901,1207
CNSH01209913,120991,1383
CNSH01209921,120992,1354
CNSH01209996,120999,1349
CNSH01210069,121006,12
CNSH01210135,121013,55
CNSH01210143,121014,21
CNSH01210150,121015,31
CNSH01210168,121016,46
CNSH01210176,121017,70
CNSH01210184,121018,59
CNSH01210192,121019,11
CNSH01210200,121020,14
CNSH01213659,121365,1303
CNSH01213667,121366,1340
CNSH01213675,121367,1627
CNSH01213683,121368,1334
CNSH01220027,122002,1311
CNSH01220159,122015,1502
CNSH01220175,122017,1523
CNSH01220191,122019,1529
CNSH01220464,122046,99
CNSH01220522,122052,11
CNSH01220548,122054,1298
CNSH01220555,122055,107
CNSH01220571,122057,1870
CNSH01220621,122062,1897
CNSH01220647,122064,1912
CNSH01220662,122066,1944
CNSH01220712,122071,2051
CNSH01220720,122072,2058
CNSH01220753,122075,2070
CNSH01220779,122077,2075
CNSH01220878,122087,2109
CNSH01220936,122093,2135
CNSH01220985,122098,1374
CNSH01221439,122143,2300
CNSH01221454,122145,2429
CNSH01221470,122147,1385
CNSH01221504,122150,2298
CNSH01221520,122152,1420
CNSH01221579,122157,2436
CNSH01221587,122158,2467
CNSH01221595,122159,2472
CNSH01221686,122168,2454
CNSH01221728,122172,2466
CNSH01221744,122174,2497
CNSH01221751,122175,2493
CNSH01221769,122176,2542
CNSH01221793,122179,2492
CNSH01221819,122181,2491
CNSH01221876,122187,2626
CNSH01221884,122188,2618
CNSH01221900,122190,2573
CNSH01221926,122192,2569
CNSH01221934,122193,2568
CNSH01221942,122194,2566
CNSH01221959,122195,2558
CNSH01221967,122196,2559
CNSH01222015,122201,2550
CNSH01222031,122203,2598
CNSH01222106,122210,2593
CNSH01222114,122211,2592
CNSH01222130,122213,2606
CNSH01222189,122218,2731
CNSH01222213,122221,2195
CNSH01222346,122234,2748
CNSH01222403,122240,2825
CNSH01222411,122241,2844
CNSH01222437,122243,2808
CNSH01222445,122244,2829
CNSH01222452,122245,2918
CNSH01222486,122248,2926
CNSH01222494,122249,2869
CNSH01222502,122250,2880
CNSH01222528,122252,2867
CNSH01222551,122255,2874
CNSH01222585,122258,3210
CNSH01222601,122260,2986
CNSH01222627,122262,3019
CNSH01222692,122269,2119
CNSH01222726,122272,3446
CNSH01222825,122282,3204
CNSH01222841,122284,4201
CNSH01222932,122293,3469
CNSH01222981,122298,3665
CNSH01223013,122301,3609
CNSH01223021,122302,3527
CNSH01223054,122305,3780
CNSH01223062,122306,3669
CNSH01223088,122308,3748
CNSH01223120,122312,3792
CNSH01223138,122313,3791
CNSH01223153,122315,3838
CNSH01223161,122316,2122
CNSH01223179,122317,1721
CNSH01223187,122318,3949
CNSH01223203,122320,2123
CNSH01223229,122322,3840
CNSH01223237,122323,3911
CNSH01223278,122327,3927
CNSH01223286,122328,3926
CNSH01223294,122329,3923
CNSH01223302,122330,3959
CNSH01223310,122331,3987
CNSH01223328,122332,4105
CNSH01223336,122333,4005
CNSH01223344,122334,4023
CNSH01223351,122335,4018
CNSH01223369,122336,4031
CNSH01223377,122337,4002
CNSH01223385,122338,4047
CNSH01223393,122339,4050
CNSH01223401,122340,4032
CNSH01223419,122341,4223
CNSH01223435,122343,4063
CNSH01223443,122344,4020
CNSH01223468,122346,4042
CNSH01223476,122347,4035
CNSH01223484,122348,3960
CNSH01223492,122349,2816
CNSH01223500,122350,4083
CNSH01223518,122351,3751
CNSH01223526,122352,1596
CNSH01223542,122354,3682
CNSH01223559,122355,4112
CNSH01223567,122356,4263
CNSH01223583,122358,4853
CNSH01223617,122361,4224
CNSH01223625,122362,4181
CNSH01223641,122364,4148
CNSH01223658,122365,4185
CNSH01223674,122367,4182
CNSH01223682,122368,4264
CNSH01223708,122370,4285
CNSH01223716,122371,4569
CNSH01223724,122372,4368
CNSH01223732,122373,4267
CNSH01223740,122374,4284
CNSH01223765,122376,4369
CNSH01223773,122377,4494
CNSH01223781,122378,4440
CNSH01223807,122380,4451
CNSH01223815,122381,5197
CNSH01223831,122383,4513
CNSH01223849,122384,4572
CNSH01223856,122385,4570
CNSH01223872,122387,4571
CNSH01223906,122390,4610
CNSH01223914,122391,4565
CNSH01223922,122392,56
CNSH01223930,122393,59
CNSH01223955,122395,4641
CNSH01223963,122396,4708
CNSH01223971,122397,4615
CNSH01223989,122398,4618
CNSH01224011,122401,4753
CNSH01224029,122402,1696
CNSH01224045,122404,4660
CNSH01224052,122405,4616
CNSH01224060,122406,4680
CNSH01224078,122407,4720
CNSH01224094,122409,4685
CNSH01224102,122410,4687
